Issuer BaFin-Id,Issuer,Issuer Domicile,Issuer Country,Reportable BaFin-Id,Reportable,Reportable Domicile,Reportable Country,Rights §33 & §34,Rights §38,Rights §39,Publishing Date
40001240,a.a.a. aktiengesellschaft allgemeine anlageverwaltung,Frankfurt am Main,Deutschland,,,,,,,,
,,,,40005281,Günter Rothenberger Beteiligungen GmbH,Frankfurt am Main,Deutschland,"95,63",,,06.05.2009
,,,,40026643,Rothenberger 4 x S Holding GmbH,Frankfurt am Main,Deutschland,"96,58","0,0","96,58",19.12.2017
,,,,60489619,"Rothenberger, Günter",,,"95,63",,,06.05.2009
40001128,a.i.s. AG,Köln,Deutschland,,,,,,,,
,,,,61032254,"Bonack, Gernut",,,"5,05",,,23.10.2013
,,,,61031679,"Uschold, Johann",,,"5,18",,,23.09.2013
40001518,A.S. Création Tapeten AG,Gummersbach,Deutschland,,,,,,,,
,,,,40001518,A.S. Création Tapeten AG,Gummersbach,Deutschland,"7,3",,,16.04.2002
,,,,50038264,A.S. Création Tapetenstiftung,Gummersbach,Deutschland,"35,27",,,03.03.2015
,,,,61022232,"Dzhagaev, Oleg",,,"15,01",,,12.02.2013
,,,,50079308,Franz Jürgen Schneider-Stiftung,Köln,Deutschland,"35,27",,,03.03.2015
,,,,10183352,FundPartner Solutions (Europe) S.A.,Luxembourg,Luxemburg,"4,92","0,0","4,92",19.12.2018
,,,,40010093,Lazard Frères Gestion S.A.S.,Paris,Frankreich,"5,03","0,0","5,03",13.07.2021
,,,,40016731,Lins Wallpaper Limited,London,Großbritannien,"15,01",,,12.02.2013
,,,,40022792,Quaero Capital Funds (Lux),Luxembourg,Luxemburg,"4,92","0,0","4,92",27.11.2018
,,,,40005942,QUAERO CAPITAL SA,Genéve,Schweiz,"4,92","0,0","4,92",27.11.2018
,,,,60489700,"Schneider, Franz Jürgen",,,"35,39",,,24.04.2013
,,,,60489701,"Schneider, Karin",,,"10,04",,,16.04.2002
40001831,aap Implantate AG,Berlin,Deutschland,,,,,,,,
,,,,50029468,Axxion S.A.,Grevenmacher,Luxemburg,"9,94","0,0","9,94",17.11.2021
,,,,60202010,"de Vries, Jan Albert",,,"14,72",,,25.02.2014
,,,,60490202,"Krebs, Jürgen",,,"13,96","0,0","13,96",07.02.2022
,,,,40009940,Noes Beheer B.V.,Zelhem,Niederlande,"14,72",,,25.02.2014
,,,,40023311,Ratio Capital Management B.V.,Amsterdam,Niederlande,"14,99","0,0","14,99",04.10.2021
,,,,40023312,Stichting Bewaarder Ratio Capital Partners,Amsterdam,Niederlande,"14,99","0,0","14,99",04.10.2021
10104209,Aareal Bank AG,Wiesbaden,Deutschland,,,,,,,,
,,,,40033103,Atlantic Lux HoldCo S.à r.l.,Luxembourg,Luxemburg,"0,42","18,82","19,24",10.05.2022
,,,,40005387,Barclays PLC,London,Großbritannien,"3,04","2,14","5,18",11.04.2022
,,,,10108595,Deka Investment GmbH,Frankfurt am Main,Deutschland,"9,6","0,0","9,6",25.05.2018
,,,,40011719,Dimensional Holdings Inc.,Austin,Vereinigte Staaten von Amerika,"4,13","0,0","4,13",18.02.2022
,,,,61068609,"Hufnagel, Till",,,"9,61","8,62","18,23",25.03.2022
,,,,50039510,JPMORGAN CHASE & CO,Wilmington,Vereinigte Staaten von Amerika,"3,71","0,31","4,03",11.05.2022
,,,,61057864,"Kretinsky, Daniel",,,"7,8","0,0","7,8",19.11.2021
,,,,61053984,"Kuzniar, Igor",,,"5,06","0,0","5,06",08.06.2021
,,,,40005584,Morgan Stanley,Wilmington,Vereinigte Staaten von Amerika,"4,31","0,02","4,32",23.02.2022
,,,,10148784,Talomon Capital Limited,London,Großbritannien,"3,25","0,0","3,25",09.02.2022
,,,,40026428,"Teleios Global Opportunities Master Fund, Ltd.",George Town,Cayman Inseln (Kaimaninseln),"5,06","0,0","5,06",08.06.2021
,,,,40022736,UBS Group AG,Zürich,Schweiz,"6,76","0,05","6,81",29.04.2022
,,,,61062433,"Umek, Klaus",,,"9,61","8,62","18,23",25.03.2022
,,,,10002283,Versorgungsanstalt des Bundes und der Länder,"Karlsruhe, Baden",Deutschland,"6,5",,,05.02.2015
40031607,ABOUT YOU Holding SE,Hamburg,Deutschland,,,,,,,,
,,,,61071038,"Müller, Tarek",,,"3,62","0,91","4,54",14.12.2021
,,,,61011513,"Otto, Benjamin Patrick",,,"44,36","0,0","44,36",18.06.2021
,,,,61069230,"Otto, Prof. Dr. Michael",,,"63,91","8,52","64,21",18.06.2021
,,,,61036416,"Povlsen, Anders Holch",,,"64,36","0,0","64,36",13.12.2021
40005612,Accentro Real Estate AG,Berlin,Deutschland,,,,,,,,
,,,,40000849,ADLER Real Estate Aktiengesellschaft,Berlin,Deutschland,"4,78","0,0","4,78",05.08.2019
,,,,61055042,"Ganiyev, Natig",,,"83,1","0,0","83,1",03.08.2020
40002017,adesso SE,Dortmund,Deutschland,,,,,,,,
,,,,60490104,"Fresenius, Ludwig Remigius",,,"9,96","0,0","9,96",24.04.2017
,,,,61006321,"Gruhn, Prof. Dr. Volker",,,"29,948",,,04.01.2008
,,,,60241660,"Rudolf, Rainer",,,"16,0","0,0","16,0",12.05.2022
,,,,40010313,Setanta GmbH,Dortmund,Deutschland,"29,947",,,04.01.2008
40001509,adidas AG,Herzogenaurach,Deutschland,,,,,,,,
,,,,40001509,adidas AG,Herzogenaurach,Deutschland,"3,03","0,0","3,03",05.04.2022
,,,,40006786,AVZ CALLCO INC.,Halifax,Kanada,"5,0739",,,20.03.2007
,,,,40006048,"BlackRock, Inc.",Wilmington,Vereinigte Staaten von Amerika,"6,39","0,03","6,41",09.09.2020
,,,,10100426,DekaBank Deutsche Girozentrale,Frankfurt am Main,Deutschland,"4,74",,,18.05.2012
,,,,40024990,Elian Corporate Trustee (Cayman) Limited,Camana Bay,Cayman Inseln (Kaimaninseln),"3,01","4,96","7,97",01.04.2022
,,,,61058768,"Frère, Gérald",,,"6,84","0,0","6,84",27.04.2021
,,,,61058769,"Gallienne, Ségolène",,,"6,84","0,0","6,84",27.04.2021
,,,,40021533,The Desmarais Family Residuary Trust,Montréal,Kanada,"6,89","0,0","6,89",04.12.2020
,,,,40003642,"The Goldman Sachs Group, Inc.",Wilmington,Vereinigte Staaten von Amerika,"0,36","4,97","5,33",16.05.2022
